Feature,DefaultUnits,Category,CAS,HGC,MicrobialParameters,IUPAC,Alias_English,Alias_Dutch,SIKBcode,SIKBomschrijving
hydrazine;sulfuric acid,μg/l,,10034-93-2,,,hydrazine;sulfuric acid,,,hydznSO4,hydrazinesulfaat
hydrazine,μg/l,,302-01-2,,,hydrazine,,,hydzne,hydrazine
"5-methyl-1,2-oxazol-3-one",μg/l,,10004-44-1,,,"5-methyl-1,2-oxazol-3-one",,,hymxzl,hymexazool
2-[2-[2-[2-[2-[2-[2-[2-(2-dodecoxyethoxy)ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethanol,μg/l,,9043-30-5,,,2-[2-[2-[2-[2-[2-[2-[2-(2-dodecoxyethoxy)ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethanol,,,iC13olC2oxlt,isotridecanol-ethoxylaat
propan-2-amine,μg/l,,75-31-0,,,propan-2-amine,,,iC3yAe,Isopropylamine
2-(propan-2-yloxymethyl)oxirane,μg/l,,4016-14-2,,,2-(propan-2-yloxymethyl)oxirane,,,iC3yDgcdE,iso-propylglycidylether
propan-2-yl acetate,μg/l,,108-21-4,,,propan-2-yl acetate,,,iC3yactt,isopropylacetaat
2-amino-N-propan-2-ylbenzamide,μg/l,,30391-89-0,,,2-amino-N-propan-2-ylbenzamide,,,iC3yantnlAd,isopropylanthranilamide
propan-2-yl 2-(N-benzoyl-3-chloro-4-fluoroanilino)propanoate,μg/l,,52756-22-6,,,propan-2-yl 2-(N-benzoyl-3-chloro-4-fluoroanilino)propanoate,,,iC3yfpp,iso-propylflamprop
propan-2-yl tetradecanoate,μg/l,,110-27-0,,,propan-2-yl tetradecanoate,,,iC3ymrtt,isopropylmyristaat
2-methylpropan-1-amine,μg/l,,78-81-9,,,2-methylpropan-1-amine,,,iC4yAe,isobutylamine
2-methylpropylbenzene,μg/l,,538-93-2,,,2-methylpropylbenzene,,,iC4yBen,iso-butylbenzeen
2-methylpropyl prop-2-enoate,μg/l,,106-63-8,,,2-methylpropyl prop-2-enoate,,,iC4yaclt,isobutylacrylaat
2-methylpropyl acetate,μg/l,,110-19-0,,,2-methylpropyl acetate,,,iC4yactt,iso-butylacetaat
"2-O-benzyl 1-O-(7-methyloctyl) benzene-1,2-dicarboxylate",μg/l,,126198-74-1,,,"2-O-benzyl 1-O-(7-methyloctyl) benzene-1,2-dicarboxylate",,,iC9ybzFt,isononyl-benzylftalaat
4-amino-5-chloro-2-phenylpyridazin-3-one,μg/l,,162354-96-3,,,4-amino-5-chloro-2-phenylpyridazin-3-one,,,iClidzn,isochloridazon
"(5-cyclopropyl-1,2-oxazol-4-yl)-[2-methylsulfonyl-4-(trifluoromethyl)phenyl]methanone",μg/l,,141112-29-0,,,"(5-cyclopropyl-1,2-oxazol-4-yl)-[2-methylsulfonyl-4-(trifluoromethyl)phenyl]methanone",,,iOaftl,isoxaflutool
"4-hydroxy-3,5-diiodobenzonitrile",μg/l,,1689-83-4,,,"4-hydroxy-3,5-diiodobenzonitrile",,,iOxnl,ioxynil
3-methylbutyl acetate,μg/l,,123-92-2,,,3-methylbutyl acetate,,,iamactt,iso-amylacetaat
2-[4-(2-methylpropyl)phenyl]propanoic acid,μg/l,,15687-27-1,,,2-[4-(2-methylpropyl)phenyl]propanoic acid,,,ibpfn,ibuprofen
2-methylpropanoic acid,μg/l,,79-31-2,,,2-methylpropanoic acid,,,ibtzr,iso-boterzuur
propan-2-yl 2-[amino(methoxy)phosphinothioyl]oxybenzoate,μg/l,,24353-61-5,,,propan-2-yl 2-[amino(methoxy)phosphinothioyl]oxybenzoate,,,icbfs,isocarbofos
N-(2-methylpropyl)-2-oxoimidazolidine-1-carboxamide,μg/l,,30979-48-7,,,N-(2-methylpropyl)-2-oxoimidazolidine-1-carboxamide,,,icbmd,iso-carbamid
butan-2-yl 2-(2-hydroxyethyl)piperidine-1-carboxylate,μg/l,,119515-38-7,,,butan-2-yl 2-(2-hydroxyethyl)piperidine-1-carboxylate,,,icrdn,icaridin
"1,8,9,10,11,11-hexachlorotetracyclo[6.2.1.13,6.02,7]dodeca-4,9-diene",μg/l,,465-73-6,,,"1,8,9,10,11,11-hexachlorotetracyclo[6.2.1.13,6.02,7]dodeca-4,9-diene",,,idn,isodrin
"N,3-bis(2-chloroethyl)-2-oxo-1,3,2lambda5-oxazaphosphinan-2-amine",μg/l,,3778-73-2,,,"N,3-bis(2-chloroethyl)-2-oxo-1,3,2lambda5-oxazaphosphinan-2-amine",,,iffAd,ifosfamide
propan-2-yl 2-[ethoxy-(propan-2-ylamino)phosphoryl]oxybenzoate,μg/l,,31120-85-1,,,propan-2-yl 2-[ethoxy-(propan-2-ylamino)phosphoryl]oxybenzoate,,,iffOon,isofenfos-oxon
propan-2-yl 2-[ethoxy-(propan-2-ylamino)phosphinothioyl]oxybenzoate,μg/l,,25311-71-1,,,propan-2-yl 2-[ethoxy-(propan-2-ylamino)phosphinothioyl]oxybenzoate,,,iffs,isofenfos
"5-isocyanato-1-(isocyanatomethyl)-1,3,3-trimethylcyclohexane",μg/l,,4098-71-9,,,"5-isocyanato-1-(isocyanatomethyl)-1,3,3-trimethylcyclohexane",,,ifrDiCN,isoforon diisocyanaat
"3,5,5-trimethylcyclohex-2-en-1-one",μg/l,,78-59-1,,,"3,5,5-trimethylcyclohex-2-en-1-one",,,ifrn,isoforon
"1,3,3-trimethyl-5-oxocyclohexane-1-carbonitrile",μg/l,,7027-11-4,,,"1,3,3-trimethyl-5-oxocyclohexane-1-carbonitrile",,,ifrntl,isoforon-nitril
(NE)-N-[1-[(6-chloropyridin-3-yl)methyl]imidazolidin-2-ylidene]nitramide,μg/l,,138261-41-3,,,(NE)-N-[1-[(6-chloropyridin-3-yl)methyl]imidazolidin-2-ylidene]nitramide,,,imdcpd,imidacloprid
"1-[2-(2,4-dichlorophenyl)-2-prop-2-enoxyethyl]imidazole",μg/l,,35554-44-0,,,"1-[2-(2,4-dichlorophenyl)-2-prop-2-enoxyethyl]imidazole",,,imzll,imazalil
imazamethabenz-methyl,μg/l,,81405-85-8,,,,imazamethabenz-methyl,,imzmtbzC1y,imazamethabenz-methyl
5-(methoxymethyl)-2-(4-methyl-5-oxo-4-propan-2-yl-1H-imidazol-2-yl)pyridine-3-carboxylic acid,μg/l,,114311-32-9,,,5-(methoxymethyl)-2-(4-methyl-5-oxo-4-propan-2-yl-1H-imidazol-2-yl)pyridine-3-carboxylic acid,,,imzmx,imazamox
"2,3-dihydro-1H-indene",μg/l,,496-11-7,,,"2,3-dihydro-1H-indene",,,inda,indaan
1H-indene,μg/l,,95-13-6,,,1H-indene,,,inde,indeen
1H-indole,μg/l,,120-72-9,,,1H-indole,,,indl,indol
2-(1H-indol-3-yl)acetic acid,μg/l,,87-51-4,,,2-(1H-indol-3-yl)acetic acid,,,indlHAc,indolylazijnzuur
4-(1H-indol-3-yl)butanoic acid,μg/l,,133-32-4,,,4-(1H-indol-3-yl)butanoic acid,,,indlbtzr,indolylboterzuur
2-[1-(4-chlorobenzoyl)-5-methoxy-2-methylindol-3-yl]acetic acid,μg/l,,53-86-1,,,2-[1-(4-chlorobenzoyl)-5-methoxy-2-methylindol-3-yl]acetic acid,,,indmtcne,indometacine
"methyl (4aS)-7-chloro-2-[methoxycarbonyl-[4-(trifluoromethoxy)phenyl]carbamoyl]-3,5-dihydroindeno[1,2-e][1,3,4]oxadiazine-4a-carboxylate",μg/l,,173584-44-6,,,"methyl (4aS)-7-chloro-2-[methoxycarbonyl-[4-(trifluoromethoxy)phenyl]carbamoyl]-3,5-dihydroindeno[1,2-e][1,3,4]oxadiazine-4a-carboxylate",,,indxcb,indoxacarb (S-isomeer)
"methyl (4aR)-7-chloro-2-[methoxycarbonyl-[4-(trifluoromethoxy)phenyl]carbamoyl]-3,5-dihydroindeno[1,2-e][1,3,4]oxadiazine-4a-carboxylate",μg/l,,185608-75-7,,,"methyl (4aR)-7-chloro-2-[methoxycarbonyl-[4-(trifluoromethoxy)phenyl]carbamoyl]-3,5-dihydroindeno[1,2-e][1,3,4]oxadiazine-4a-carboxylate",,,indxcb-R,indoxacarb (R-isomeer)
"(4-cyano-2,6-diiodophenyl) octanoate",μg/l,,3861-47-0,,,"(4-cyano-2,6-diiodophenyl) octanoate",,,ioxnOcnat,ioxynil octanoaat
"3-(3,5-dichlorophenyl)-2,4-dioxo-N-propan-2-ylimidazolidine-1-carboxamide",μg/l,,36734-19-7,,,"3-(3,5-dichlorophenyl)-2,4-dioxo-N-propan-2-ylimidazolidine-1-carboxamide",,,ipDon,iprodion
(2-propan-2-ylphenyl) N-methylcarbamate,μg/l,,2631-40-5,,,(2-propan-2-ylphenyl) N-methylcarbamate,,,ipcb,isoprocarb
di(propan-2-yloxy)phosphorylsulfanylmethylbenzene,μg/l,,26087-47-8,,,di(propan-2-yloxy)phosphorylsulfanylmethylbenzene,,,ipnfs,iprobenfos
2-propan-2-yloxyethanol,μg/l,,109-59-1,,,2-propan-2-yloxyethanol,,,ipropxC2ol,isopropoxyethanol
"dipropan-2-yl 2-(1,3-dithiolan-2-ylidene)propanedioate",μg/l,,50512-35-1,,,"dipropan-2-yl 2-(1,3-dithiolan-2-ylidene)propanedioate",,,iptoln,isoprothiolan
"1,1-dimethyl-3-(4-propan-2-ylphenyl)urea",μg/l,,34123-59-6,,,"1,1-dimethyl-3-(4-propan-2-ylphenyl)urea",,,iptrn,isoproturon
propan-2-yl N-[(2S)-3-methyl-1-[1-(4-methylphenyl)ethylamino]-1-oxobutan-2-yl]carbamate,μg/l,,140923-17-7,,,propan-2-yl N-[(2S)-3-methyl-1-[1-(4-methylphenyl)ethylamino]-1-oxobutan-2-yl]carbamate,,,ipvlcb,iprovalicarb
isoquinoline,μg/l,,119-65-3,,,isoquinoline,,,iqnlne,isoquinoline
"2-butyl-3-[[4-[2-(2H-tetrazol-5-yl)phenyl]phenyl]methyl]-1,3-diazaspiro[4.4]non-1-en-4-one",μg/l,,138402-11-6,,,"2-butyl-3-[[4-[2-(2H-tetrazol-5-yl)phenyl]phenyl]methyl]-1,3-diazaspiro[4.4]non-1-en-4-one",,,irbstan,irbesartan
"2-N-tert-butyl-4-N-cyclopropyl-6-methylsulfanyl-1,3,5-triazine-2,4-diamine",μg/l,,28159-98-0,,,"2-N-tert-butyl-4-N-cyclopropyl-6-methylsulfanyl-1,3,5-triazine-2,4-diamine",,,irgrl,irgarol
"5-[(E)-prop-1-enyl]-1,3-benzodioxole",μg/l,,120-58-1,,,"5-[(E)-prop-1-enyl]-1,3-benzodioxole",,,isfl,isosafrol
"3-(difluoromethyl)-1-methyl-N-(11-propan-2-yl-3-tricyclo[6.2.1.02,7]undeca-2(7),3,5-trienyl)pyrazole-4-carboxamide",μg/l,,881685-58-1,,,"3-(difluoromethyl)-1-methyl-N-(11-propan-2-yl-3-tricyclo[6.2.1.02,7]undeca-2(7),3,5-trienyl)pyrazole-4-carboxamide",,,isprzm,isopyrazam
"(3S,3aR,6R,6aR)-2,3,3a,5,6,6a-hexahydrofuro[3,2-b]furan-3,6-diol",μg/l,,652-67-5,,,"(3S,3aR,6R,6aR)-2,3,3a,5,6,6a-hexahydrofuro[3,2-b]furan-3,6-diol",,,issbde,isosorbide
"2,6-dimethoxy-N-[3-(3-methylpentan-3-yl)-1,2-oxazol-5-yl]benzamide",μg/l,,82558-50-7,,,"2,6-dimethoxy-N-[3-(3-methylpentan-3-yl)-1,2-oxazol-5-yl]benzamide",,,isxbn,isoxaben
"(5-chloro-1-propan-2-yl-1,2,4-triazol-3-yl)oxy-diethoxy-sulfanylidene-lambda5-phosphane",μg/l,,42509-80-8,,,"(5-chloro-1-propan-2-yl-1,2,4-triazol-3-yl)oxy-diethoxy-sulfanylidene-lambda5-phosphane",,,iszfs,isazofos
"3-(5-tert-butyl-1,2-oxazol-3-yl)-1,1-dimethylurea",μg/l,,55861-78-4,,,"3-(5-tert-butyl-1,2-oxazol-3-yl)-1,1-dimethylurea",,,iurn,isouron
3-methylbutanoic acid,μg/l,,503-74-2,,,3-methylbutanoic acid,,,ivlrazr,iso-valeriaanzuur
"(1R,4S,5'S,6R,6'R,8R,10E,12S,13S,14E,16E,20R,21R,24S)-6'-[(2S)-butan-2-yl]-21,24-dihydroxy-12-[(2R,4S,5S,6S)-5-[(2S,4S,5S,6S)-5-hydroxy-4-methoxy-6-methyloxan-2-yl]oxy-4-methoxy-6-methyloxan-2-yl]oxy-5',11,13,22-tetramethylspiro[3,7,19-trioxatetracyclo[15.6.1.14,8.020,24]pentacosa-10,14,16,22-tetraene-6,2'-oxane]-2-one",μg/l,,70288-86-7,,,"(1R,4S,5'S,6R,6'R,8R,10E,12S,13S,14E,16E,20R,21R,24S)-6'-[(2S)-butan-2-yl]-21,24-dihydroxy-12-[(2R,4S,5S,6S)-5-[(2S,4S,5S,6S)-5-hydroxy-4-methoxy-6-methyloxan-2-yl]oxy-4-methoxy-6-methyloxan-2-yl]oxy-5',11,13,22-tetramethylspiro[3,7,19-trioxatetracyclo[15.6.1.14,8.020,24]pentacosa-10,14,16,22-tetraene-6,2'-oxane]-2-one",,,ivmctne,ivermectine
"ethyl 5,5-diphenyl-4H-1,2-oxazole-3-carboxylate",μg/l,,163520-33-0,,,"ethyl 5,5-diphenyl-4H-1,2-oxazole-3-carboxylate",,,ixdfnC2y,isoxadifen-ethyl
"diethoxy-[(5-phenyl-1,2-oxazol-3-yl)oxy]-sulfanylidene-lambda5-phosphane",μg/l,,18854-01-8,,,"diethoxy-[(5-phenyl-1,2-oxazol-3-yl)oxy]-sulfanylidene-lambda5-phosphane",,,ixtton,isoxathion
"(2,5-dichloro-4-iodophenoxy)-dimethoxy-sulfanylidene-lambda5-phosphane",μg/l,,18181-70-9,,,"(2,5-dichloro-4-iodophenoxy)-dimethoxy-sulfanylidene-lambda5-phosphane",,,jodffs,jodfenfos
"5-[acetyl-[3-[N-acetyl-3,5-bis(2,3-dihydroxypropylcarbamoyl)-2,4,6-triiodoanilino]-2-hydroxypropyl]amino]-1-N,3-N-bis(2,3-dihydroxypropyl)-2,4,6-triiodobenzene-1,3-dicarboxamide",μg/l,,92339-11-2,,,"5-[acetyl-[3-[N-acetyl-3,5-bis(2,3-dihydroxypropylcarbamoyl)-2,4,6-triiodoanilino]-2-hydroxypropyl]amino]-1-N,3-N-bis(2,3-dihydroxypropyl)-2,4,6-triiodobenzene-1,3-dicarboxamide",,,jodixnl,jodixanol
"3-[[6-(3-carboxy-2,4,6-triiodoanilino)-6-oxohexanoyl]amino]-2,4,6-triiodobenzoic acid",μg/l,,606-17-7,,,"3-[[6-(3-carboxy-2,4,6-triiodoanilino)-6-oxohexanoyl]amino]-2,4,6-triiodobenzoic acid",,,jodpAd,jodipamide
"5-[acetyl(2,3-dihydroxypropyl)amino]-1-N,3-N-bis(2,3-dihydroxypropyl)-2,4,6-triiodobenzene-1,3-dicarboxamide",μg/l,,66108-95-0,,,"5-[acetyl(2,3-dihydroxypropyl)amino]-1-N,3-N-bis(2,3-dihydroxypropyl)-2,4,6-triiodobenzene-1,3-dicarboxamide",,,johxl,johexol
"1-N,3-N-bis(2,3-dihydroxypropyl)-5-[(2-hydroxyacetyl)-methylamino]-2,4,6-triiodobenzene-1,3-dicarboxamide",μg/l,,78649-41-9,,,"1-N,3-N-bis(2,3-dihydroxypropyl)-5-[(2-hydroxyacetyl)-methylamino]-2,4,6-triiodobenzene-1,3-dicarboxamide",,,jompl,jomeprol
"1-N,3-N-bis(2,3-dihydroxypropyl)-2,4,6-triiodo-5-[(2-methoxyacetyl)amino]-3-N-methylbenzene-1,3-dicarboxamide",μg/l,,73334-07-3,,,"1-N,3-N-bis(2,3-dihydroxypropyl)-2,4,6-triiodo-5-[(2-methoxyacetyl)amino]-3-N-methylbenzene-1,3-dicarboxamide",,,jopmde,jopromide
"1-N,3-N-bis(1,3-dihydroxypropan-2-yl)-5-[[(2S)-2-hydroxypropanoyl]amino]-2,4,6-triiodobenzene-1,3-dicarboxamide",μg/l,,60166-93-0,,,"1-N,3-N-bis(1,3-dihydroxypropan-2-yl)-5-[[(2S)-2-hydroxypropanoyl]amino]-2,4,6-triiodobenzene-1,3-dicarboxamide",,,jopmdl,jopamidol
"2-[(3-amino-2,4,6-triiodophenyl)methyl]butanoic acid",μg/l,,96-83-3,,,"2-[(3-amino-2,4,6-triiodophenyl)methyl]butanoic acid",,,jopninzr,jopanoïnezuur
"3-acetamido-2,4,6-triiodo-5-(methylcarbamoyl)benzoic acid",μg/l,,2276-90-6,,,"3-acetamido-2,4,6-triiodo-5-(methylcarbamoyl)benzoic acid",,,jotlmnzr,jotalaminezuur
"3-[[2-[[3-[acetyl(methyl)amino]-2,4,6-triiodo-5-(methylcarbamoyl)benzoyl]amino]acetyl]amino]-5-(2-hydroxyethylcarbamoyl)-2,4,6-triiodobenzoic acid",μg/l,,59017-64-0,,,"3-[[2-[[3-[acetyl(methyl)amino]-2,4,6-triiodo-5-(methylcarbamoyl)benzoyl]amino]acetyl]amino]-5-(2-hydroxyethylcarbamoyl)-2,4,6-triiodobenzoic acid",,,joxgnzr,joxaglinezuur
"3-acetamido-5-(2-hydroxyethylcarbamoyl)-2,4,6-triiodobenzoic acid",μg/l,,28179-44-4,,,"3-acetamido-5-(2-hydroxyethylcarbamoyl)-2,4,6-triiodobenzoic acid",,,joxtlmnzr,joxitalaminezuur
"2-amino-2-[(2R,3S,5S,6R)-5-amino-2-methyl-6-[(2R,3S,5S,6S)-2,3,4,5,6-pentahydroxycyclohexyl]oxyoxan-3-yl]iminoacetic acid",μg/l,,6980-18-3,,,"2-amino-2-[(2R,3S,5S,6R)-5-amino-2-methyl-6-[(2R,3S,5S,6S)-2,3,4,5,6-pentahydroxycyclohexyl]oxyoxan-3-yl]iminoacetic acid",,,kasgmcne,kasugamycine
2-(2-chlorophenyl)-2-(methylamino)cyclohexan-1-one,μg/l,,100477-72-3,,,2-(2-chlorophenyl)-2-(methylamino)cyclohexan-1-one,,,ketAe,ketamine
2-(3-benzoylphenyl)propanoic acid,μg/l,,22071-15-4,,,2-(3-benzoylphenyl)propanoic acid,,,ketpfn,ketoprofen
coconut alkyl trimethylammonium chloride,μg/l,,61789-18-2,,,,coconut alkyl trimethylammonium chloride,,kokakTC1yNH4,kokosalkyltrimethylammoniumchloride
carbohydrates,μg/l,,,,,,carbohydrates,,koolhdtn,koolhydraten
hydrocarbon resin,μg/l,,,,,,hydrocarbon resin,,koolwtshs,koolwaterstofhars
methyl (2E)-2-methoxyimino-2-[2-[(2-methylphenoxy)methyl]phenyl]acetate,μg/l,,143390-89-0,,,methyl (2E)-2-methoxyimino-2-[2-[(2-methylphenoxy)methyl]phenyl]acetate,,,kresOxmC1y,kresoxim-methyl
(1-ethoxy-1-oxopropan-2-yl) 5-[2-chloro-4-(trifluoromethyl)phenoxy]-2-nitrobenzoate,μg/l,,77501-63-4,,,(1-ethoxy-1-oxopropan-2-yl) 5-[2-chloro-4-(trifluoromethyl)phenoxy]-2-nitrobenzoate,,,lactfn,lactofen
"(2R,3R,4S,5R,6S)-2-(hydroxymethyl)-6-[(2R,3S,4R,5R,6R)-4,5,6-trihydroxy-2-(hydroxymethyl)oxan-3-yl]oxyoxane-3,4,5-triol",μg/l,,63-42-3,,,"(2R,3R,4S,5R,6S)-2-(hydroxymethyl)-6-[(2R,3S,4R,5R,6R)-4,5,6-trihydroxy-2-(hydroxymethyl)oxan-3-yl]oxyoxane-3,4,5-triol",,,lactse,lactose
"(3R,4S,5R,6R)-4-[(3R,4S,5R,6R)-3,5-dihydroxy-6-(hydroxymethyl)-4-[(3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxyoxan-2-yl]oxy-6-(hydroxymethyl)oxane-2,3,5-triol",μg/l,,9008-22-4,,,"(3R,4S,5R,6R)-4-[(3R,4S,5R,6R)-3,5-dihydroxy-6-(hydroxymethyl)-4-[(3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxyoxan-2-yl]oxy-6-(hydroxymethyl)oxane-2,3,5-triol",,,lamnrn,laminaran
"6-(2,3-dichlorophenyl)-1,2,4-triazine-3,5-diamine",μg/l,,84057-84-1,,,"6-(2,3-dichlorophenyl)-1,2,4-triazine-3,5-diamine",,,lamtgne,lamotrigine
"(2,3,5-trimethylphenyl) N-methylcarbamate",μg/l,,12407-86-2,,,"(2,3,5-trimethylphenyl) N-methylcarbamate",,,landn,landrin
"[(S)-cyano-(3-phenoxyphenyl)methyl] (1R,3R)-3-[(Z)-2-chloro-3,3,3-trifluoroprop-1-enyl]-2,2-dimethylcyclopropane-1-carboxylate",μg/l,,91465-08-6,,,"[(S)-cyano-(3-phenoxyphenyl)methyl] (1R,3R)-3-[(Z)-2-chloro-3,3,3-trifluoroprop-1-enyl]-2,2-dimethylcyclopropane-1-carboxylate",,,lcyhltn,lambda-cyhalothrin
"3-cyclohexyl-1,5,6,7-tetrahydrocyclopenta[d]pyrimidine-2,4-dione",μg/l,,2164-08-1,,,"3-cyclohexyl-1,5,6,7-tetrahydrocyclopenta[d]pyrimidine-2,4-dione",,,lencl,lenacil
"(4-bromo-2,5-dichlorophenoxy)-methoxy-phenyl-sulfanylidene-lambda5-phosphane",μg/l,,21609-90-5,,,"(4-bromo-2,5-dichlorophenoxy)-methoxy-phenyl-sulfanylidene-lambda5-phosphane",,,leptfs,leptofos
"(2S)-7-fluoro-2-methyl-6-(4-methylpiperazin-1-yl)-10-oxo-4-oxa-1-azatricyclo[7.3.1.05,13]trideca-5(13),6,8,11-tetraene-11-carboxylic acid",μg/l,,100986-85-4,,,"(2S)-7-fluoro-2-methyl-6-(4-methylpiperazin-1-yl)-10-oxo-4-oxa-1-azatricyclo[7.3.1.05,13]trideca-5(13),6,8,11-tetraene-11-carboxylic acid",,,levfxcne,levofloxacine
"(6S)-6-phenyl-2,3,5,6-tetrahydroimidazo[2,1-b][1,3]thiazole",μg/l,,14769-73-4,,,"(6S)-6-phenyl-2,3,5,6-tetrahydroimidazo[2,1-b][1,3]thiazole",,,levmsl,levamisol
(2S)-2-(2-oxopyrrolidin-1-yl)butanamide,μg/l,,102767-28-2,,,(2S)-2-(2-oxopyrrolidin-1-yl)butanamide,,,levtrctm,levetiracetam
"(2S)-2-amino-3-[4-(4-hydroxy-3,5-diiodophenoxy)-3,5-diiodophenyl]propanoic acid",μg/l,,51-48-9,,,"(2S)-2-amino-3-[4-(4-hydroxy-3,5-diiodophenoxy)-3,5-diiodophenyl]propanoic acid",,,levtrxne,levothyroxine
"2-(diethylamino)-N-(2,6-dimethylphenyl)acetamide",μg/l,,137-58-6,,,"2-(diethylamino)-N-(2,6-dimethylphenyl)acetamide",,,lidcine,lidocaïne
lignin,μg/l,,9005-53-2,,,,lignin,,lignne,lignine
1-methyl-4-prop-1-en-2-ylcyclohexene,μg/l,,138-86-3,,,1-methyl-4-prop-1-en-2-ylcyclohexene,,,limnn,limoneen
"(2S,4R)-N-[(1R,2R)-2-hydroxy-1-[(2R,3R,4S,5R,6R)-3,4,5-trihydroxy-6-methylsulfanyloxan-2-yl]propyl]-1-methyl-4-propylpyrrolidine-2-carboxamide",μg/l,,154-21-2,,,"(2S,4R)-N-[(1R,2R)-2-hydroxy-1-[(2R,3R,4S,5R,6R)-3,4,5-trihydroxy-6-methylsulfanyloxan-2-yl]propyl]-1-methyl-4-propylpyrrolidine-2-carboxamide",,,lincmcne,lincomycine
"3-(3,4-dichlorophenyl)-1-methoxy-1-methylurea",μg/l,,330-55-2,,,"3-(3,4-dichlorophenyl)-1-methoxy-1-methylurea",,,linrn,linuron
"(9Z,12Z)-octadeca-9,12-dienoic acid",μg/l,,60-33-3,,,"(9Z,12Z)-octadeca-9,12-dienoic acid",,,linzr,linolzuur
(2S)-1-[(2S)-6-amino-2-[[(1S)-1-carboxy-3-phenylpropyl]amino]hexanoyl]pyrrolidine-2-carboxylic acid;dihydrate,μg/l,,83915-83-7,,,(2S)-1-[(2S)-6-amino-2-[[(1S)-1-carboxy-3-phenylpropyl]amino]hexanoyl]pyrrolidine-2-carboxylic acid;dihydrate,,,lisnpl,lisinopril
"4-[4-(4-chlorophenyl)-4-hydroxypiperidin-1-yl]-N,N-dimethyl-2,2-diphenylbutanamide",μg/l,,53179-11-6,,,"4-[4-(4-chlorophenyl)-4-hydroxypiperidin-1-yl]-N,N-dimethyl-2,2-diphenylbutanamide",,,lopAd,loperamide
[2-butyl-5-chloro-3-[[4-[2-(2H-tetrazol-5-yl)phenyl]phenyl]methyl]imidazol-4-yl]methanol,μg/l,,114798-26-4,,,[2-butyl-5-chloro-3-[[4-[2-(2H-tetrazol-5-yl)phenyl]phenyl]methyl]imidazol-4-yl]methanol,,,lostan,losartan
"N-[[2,5-dichloro-4-(1,1,2,3,3,3-hexafluoropropoxy)phenyl]carbamoyl]-2,6-difluorobenzamide",μg/l,,103055-07-8,,,"N-[[2,5-dichloro-4-(1,1,2,3,3,3-hexafluoropropoxy)phenyl]carbamoyl]-2,6-difluorobenzamide",,,lufnrn,lufenuron
"2,4,6,8-tetramethyl-1,3,5,7-tetraoxocane",μg/l,,108-62-3,,,"2,4,6,8-tetramethyl-1,3,5,7-tetraoxocane",,,mAh,metaldehyde
diethyl 2-dimethoxyphosphorylsulfanylbutanedioate,μg/l,,1634-78-2,,,diethyl 2-dimethoxyphosphorylsulfanylbutanedioate,,,malOon,malaoxon
"[4-[[4-(dimethylamino)phenyl]-phenylmethylidene]cyclohexa-2,5-dien-1-ylidene]-dimethylazanium;2-hydroxy-2-oxoacetate;oxalic acid",μg/l,,2437-29-8,,,"[4-[[4-(dimethylamino)phenyl]-phenylmethylidene]cyclohexa-2,5-dien-1-ylidene]-dimethylazanium;2-hydroxy-2-oxoacetate;oxalic acid",,,malcgoxlt,malachietgroen-oxalaat
"1,2-dihydropyridazine-3,6-dione",μg/l,,123-33-1,,,"1,2-dihydropyridazine-3,6-dione",,,malinhdzde,maleinehydrazide
(Z)-but-2-enedioic acid,μg/l,,110-16-7,,,(Z)-but-2-enedioic acid,,,malinzr,maleïnezuur
propanedinitrile,μg/l,,109-77-3,,,propanedinitrile,,,malnntl,malononitril
maltodextrin,μg/l,,9050-36-6,,,,maltodextrin,,maltdtne,maltodextrine
diethyl 2-dimethoxyphosphinothioylsulfanylbutanedioate,μg/l,,121-75-5,,,diethyl 2-dimethoxyphosphinothioylsulfanylbutanedioate,,,malton,malathion
manganese(2+);N-[2-(sulfidocarbothioylamino)ethyl]carbamodithioate,μg/l,,12427-38-2,,,manganese(2+);N-[2-(sulfidocarbothioylamino)ethyl]carbamodithioate,,,manb,maneb
zinc;manganese(2+);N-[2-(sulfidocarbothioylamino)ethyl]carbamodithioate,μg/l,,8018-01-7,,,zinc;manganese(2+);N-[2-(sulfidocarbothioylamino)ethyl]carbamodithioate,,,manczb,mancozeb
2-(4-chlorophenyl)-N-[2-(3-methoxy-4-prop-2-ynoxyphenyl)ethyl]-2-prop-2-ynoxyacetamide,μg/l,,374726-62-2,,,2-(4-chlorophenyl)-N-[2-(3-methoxy-4-prop-2-ynoxyphenyl)ethyl]-2-prop-2-ynoxyacetamide,,,mandppAd,mandipropamide
"2-[2-[(2,5-dimethylphenoxy)methyl]phenyl]-2-methoxy-N-methylacetamide",μg/l,,173662-97-0,,,"2-[2-[(2,5-dimethylphenoxy)methyl]phenyl]-2-methoxy-N-methylacetamide",,,mandsbn,mandestrobin
"N,N-dimethylcarbamodithioate;manganese(2+)",μg/l,,15339-36-3,,,"N,N-dimethylcarbamodithioate;manganese(2+)",,,manm,manam
