Feature,DefaultUnits,Category,CAS,HGC,MicrobialParameters,IUPAC,Alias_English,Alias_Dutch,SIKBcode,SIKBomschrijving
somatic_coliphages_counts,1,,,,somatic_coliphages_counts,,Somatic coliphages count,Somatische colifagen aantal,,
somatic_coliphages_samplevolume,L,,,,somatic_coliphages_samplevolume,,Somatic coliphages sample volume,Somatische colifagen monstervolume,,
somatic_coliphages_volume,L,,,,somatic_coliphages_volume,,Somatic coliphages sample analysis volume,Somatische colifagen inzetvolume | Somatische colifagen geanalyseerd volume,,
Clostridiales,1/L,,,,Clostridiales,,,,CLOSTR,Clostridia
Cryptosporidium,1/L,,,,Cryptosporidium,,,,,
sulphate_reducing_clostridiales,1/L,,,,sulphate_reducing_clostridiales,,sulphite reducing clostridia,Sporen sulfietreducerende clostridia,,
sulphate_reducing_clostridiales_counts,1,,,,sulphate_reducing_clostridiales_counts,,sulphite reducing clostridia colony count | sulphite reducing clostridia colony count 24 hours,Sporen sulfietreducerende clostridia aantal kolonies |  Sporen sulfietreducerende clostridia aantal kolonies 24 uur |  Sporen sulfietreducerende clostridia colony count,,
sulphate_reducing_clostridiales_volume,L,,,,sulphate_reducing_clostridiales_volume,,sulphite reducing clostridia analysis volume,Sporen sulfietreducerende clostridia geanalyseerd volume | Sporen Sulfietreducerende Clostridia Analysis Volume,,
sulphate_reducing_clostridiales_48h_counts,1,,,,sulphate_reducing_clostridiales_48h_counts,,sulphite reducing clostridia colony count 48 hours,Sporen sulfietreducerende clostridia aantal kolonies 48 uur,,
Campylobacter,1/L,,,,Campylobacter,,,,CAMPLBTR,Campylobacter
sample_volume,L,,,,sample_volume,,analysis volume,monstervolume | inzetvolume | geanalyseerd volume,,
fecal_coliforms,1/L,,,,fecal_coliforms,,,,FAECLCLFMN,Faecale coliformen
fecal_streptococcus,1/L,,,,fecal_streptococcus,,,,FAECLSTCCND,Faecale Streptococcen D
stoorflora,,,,,stoorflora,,,,,
centricon,,,,,centricon,,,,,
bacteroides_dog,1/L,,,,bacteroides_dog,,Bacteroides Dog,,BACTIODHSCFK,Bacteroides - hond-specifieke stam
bacteroides_bacteria,1/L,,,,bacteroides_bacteria,,,,BACTOIDBTRN,Bacteroides bacteria
bacteroides_ruminant,1/L,,,,bacteroides_ruminant,,Bacteroides Ruminant,,BACTOIDHKWSC,Bacteroides - herkauwer-specifieke stam
bacteroides_human,1/L,,,,bacteroides_human,,Bacteroides Human,,BACTOIDMSCFK,Bacteroides - mens-specifieke stam
bacteroides_dorei,1/L,,,,bacteroides_dorei,,,,BACTOIDTDRI,Bacteriodes dorei
bacteroides_pig,1/L,,,,bacteroides_pig,,Bacteroides Pig,,BACTOIDVKSCF,Bacteriodes - varken-specifieke stam
bacteroides_avian,1/L,,,,bacteroides_avian,,Bacteroides Avian Helicobacter,,,
AOC,μg/l,,,,AOC,,, assimileerbaar organische koolstof | Totaal AOC,,
AOC_NOX,μg/l,,,,AOC_NOX,,,,,
AOC_P17,μg/l,,,,AOC_P17,,,,,
ATP,mg/L,,56-65-5,,ATP,,Adenosine triphosphate,,ATP,adenosine-trifosfaat
ATP_sd,mg/L,,,,ATP_sd,,Adenosine triphosphate standard deviation,adenosine-trifosfaat standaard deviatie,,
ATP_inhibition,1,,,,ATP_inhibition,,Adenosine triphosphate inhibition,adenosine-trifosfaat standaard rendement,,
DNA,mg/L,,,,DNA,,DNA concentration,DNA concentratie,,
DNA_recovery,1,,,,DNA_recovery,,DNA recovery,DNA rendement,,
conduct analysis,,,,,,,conduct analysis,uitvoering analyse,,
filtration,,,,,,,filtration,filtratie,,
filtration_field,,,,,,,filtration_field,filtratie veld,,
filtration_laboratoy,,,,,,,filtration_laboratoy,filtratie laboratorium,,
,,,,,,,,looptijd | looptijd (veld),,
heroin,μg/l,,,,,,heroin,Heroïne,,
Trihalomethane,μg/l,,,,,,Trihalomethane,Trihalomethanen,,
Tert-Butyl ethyl ether,μg/l,,637-92-3,,,Tert-Butyl ethyl ether,,ETBE | Ethyl-tert-butylether,,
